kategori,lapisan,batas_bawah,batas_atas,tarif
A,1,0,5400000,0.0000
A,2,5400001,5650000,0.0025
A,3,5650001,5950000,0.0050
A,4,5950001,6300000,0.0075
A,5,6300001,6750000,0.0100
A,6,6750001,7500000,0.0125
A,7,7500001,8550000,0.0150
A,8,8550001,9650000,0.0175
A,9,9650001,10050000,0.0200
A,10,10050001,10350000,0.0225
A,11,10350001,10700000,0.0250
A,12,10700001,11050000,0.0300
A,13,11050001,11600000,0.0350
A,14,11600001,12500000,0.0400
A,15,12500001,13750000,0.0500
A,16,13750001,15100000,0.0600
A,17,15100001,16950000,0.0700
A,18,16950001,19750000,0.0800
A,19,19750001,24150000,0.0900
A,20,24150001,26450000,0.1000
A,21,26450001,28000000,0.1100
A,22,28000001,30050000,0.1200
A,23,30050001,32400000,0.1300
A,24,32400001,35400000,0.1400
A,25,35400001,39100000,0.1500
A,26,39100001,43850000,0.1600
A,27,43850001,47800000,0.1700
A,28,47800001,51400000,0.1800
A,29,51400001,56300000,0.1900
A,30,56300001,62200000,0.2000
A,31,62200001,68600000,0.2100
A,32,68600001,77500000,0.2200
A,33,77500001,89000000,0.2300
A,34,89000001,103000000,0.2400
A,35,103000001,125000000,0.2500
A,36,125000001,157000000,0.2600
A,37,157000001,206000000,0.2700
A,38,206000001,337000000,0.2800
A,39,337000001,454000000,0.2900
A,40,454000001,550000000,0.3000
A,41,550000001,695000000,0.3100
A,42,695000001,910000000,0.3200
A,43,910000001,1400000000,0.3300
A,44,1400000001,,0.3400
B,1,0,6200000,0.0000
B,2,6200001,6500000,0.0025
B,3,6500001,6850000,0.0050
B,4,6850001,7300000,0.0075
B,5,7300001,9200000,0.0100
B,6,9200001,10750000,0.0150
B,7,10750001,11250000,0.0200
B,8,11250001,11600000,0.0250
B,9,11600001,12600000,0.0300
B,10,12600001,13600000,0.0400
B,11,13600001,14950000,0.0500
B,12,14950001,16400000,0.0600
B,13,16400001,18450000,0.0700
B,14,18450001,21850000,0.0800
B,15,21850001,26000000,0.0900
B,16,26000001,27700000,0.1000
B,17,27700001,29350000,0.1100
B,18,29350001,31450000,0.1200
B,19,31450001,33950000,0.1300
B,20,33950001,37100000,0.1400
B,21,37100001,41100000,0.1500
B,22,41100001,45800000,0.1600
B,23,45800001,49500000,0.1700
B,24,49500001,53800000,0.1800
B,25,53800001,58500000,0.1900
B,26,58500001,64000000,0.2000
B,27,64000001,71000000,0.2100
B,28,71000001,80000000,0.2200
B,29,80000001,93000000,0.2300
B,30,93000001,109000000,0.2400
B,31,109000001,129000000,0.2500
B,32,129000001,163000000,0.2600
B,33,163000001,211000000,0.2700
B,34,211000001,374000000,0.2800
B,35,374000001,459000000,0.2900
B,36,459000001,555000000,0.3000
B,37,555000001,704000000,0.3100
B,38,704000001,957000000,0.3200
B,39,957000001,1405000000,0.3300
B,40,1405000001,,0.3400
C,1,0,6600000,0.0000
C,2,6600001,6950000,0.0025
C,3,6950001,7350000,0.0050
C,4,7350001,7800000,0.0075
C,5,7800001,8850000,0.0100
C,6,8850001,9800000,0.0125
C,7,9800001,10950000,0.0150
C,8,10950001,11200000,0.0175
C,9,11200001,12050000,0.0200
C,10,12050001,12950000,0.0300
C,11,12950001,14150000,0.0400
C,12,14150001,15550000,0.0500
C,13,15550001,17050000,0.0600
C,14,17050001,19500000,0.0700
C,15,19500001,22700000,0.0800
C,16,22700001,26600000,0.0900
C,17,26600001,28100000,0.1000
C,18,28100001,30100000,0.1100
C,19,30100001,32600000,0.1200
C,20,32600001,35400000,0.1300
C,21,35400001,38900000,0.1400
C,22,38900001,43000000,0.1500
C,23,43000001,47400000,0.1600
C,24,47400001,51200000,0.1700
C,25,51200001,55800000,0.1800
C,26,55800001,60400000,0.1900
C,27,60400001,66700000,0.2000
C,28,66700001,74500000,0.2100
C,29,74500001,83200000,0.2200
C,30,83200001,95600000,0.2300
C,31,95600001,110000000,0.2400
C,32,110000001,134000000,0.2500
C,33,134000001,169000000,0.2600
C,34,169000001,221000000,0.2700
C,35,221000001,390000000,0.2800
C,36,390000001,463000000,0.2900
C,37,463000001,561000000,0.3000
C,38,561000001,709000000,0.3100
C,39,709000001,965000000,0.3200
C,40,965000001,1419000000,0.3300
C,41,1419000001,,0.3400
